KOFEX계좌채번유형구분,KOFEX_ACNT_NUMCR_PTN_TP,KFX_NUMCR_PTN_TP,,,,13,2,0
CLEAN PRICE,CLEAN PRICE,CLNPRC,경과이자를 감안하지 않은 채권가격(2010.02.23 IFRS요청사항),,,11,2,0
PRECISION,PRECISION,PRCSN,오라클 Number타입에서의 표현 자리수,,,9,2,0
SECONDARY,SECONDARY,SCND,제2의 의미와 동의어,,,9,2,0
CATEGORY,CATEGORY,CATEGORY,,,,8,2,0
KOSPI200,KOREA STOCK PRICE INDEX 200 ,KOSPI200,,,,8,2,0
INTEGER,INTEGER,INT,"전산용어 변수의 특정형을 구분하는 역할, 정수",,,7,2,0
PAYNOTE,PAYNOTE,PAYNOTE,,,,7,2,0
PRIMARY,PRIMARY,PRIM,제1의 의미와 동의,,,7,2,0
BASE21,BROKER'S ACCOUNTING & STOCK EXCHANGE FOR 21ST CENTURY,B21,BROKER'S ACCOUNTING & STOCK EXCHANGE FOR 21ST CENTURY,,,6,2,0
BITMAP,BITMAP,BTMAP,,,,6,2,0
BLOTER,BLOTER,BLOTER,리딩증권사에서 코스콤으로 전송되는 코드,,,6,2,0
DOUBLE,DOUBLE,DOUBLE,"전산용어 변수의 특정형을 구분하는 역할, 확장형정수",,,6,2,0
KOSDAQ,KOSDAQ,KDQ,,,,6,2,0
MSDATA,MAGNETIC SCRIPE DATA,MSDATA,,,,6,2,0
OFFSET,OFFSET,OFST,,,,6,2,0
SIGNAL,SIGNAL,SIGNAL,,,,6,2,0
CIF코드,CIF CODE,CIF_CODE,이용사 자체 회계시스템 내의 cif코드 ,,,5,2,0
KOFEX,KOREA FUTURES EXCHANGE,KFX,,,,5,2,0
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX,KOSPI,,,,5,2,0
OTCBB,OVER THE COUNTER BULLITIN BOARD,OTCBB,,,,5,2,0
CCTV,CLOSED CIRCUIT TELEVISION,CCTV,폐쇠회로 텔레비전,,,4,2,0
CDMS,CDMS,CDMS,,,,4,2,0
CD장치,COMPACT DISK DEVICE,CDD,"CUSTOMER DUE DILIGENCE(고객알기제도,2006.4.20 계좌)",,,4,2,0
CHAR,CHAR,CHAR,"전산용어 변수의 특정형을 구분하는 역할, 문자형",,,4,2,0
DBIO,DATABASE INPUT AND OUTPUT,DBIO,,,,4,2,0
GOLD,GOLD,GOLD,금,,,4,2,0
IC카드,INTEGRATED CIRCUIT CARD,ICCARD,,,,4,2,0
IFRS,INTERNATIONAL FINANCIAL REPORTING STANDARDS,IFRS,,,,4,2,0
ISIN,,ISIN,국제표준코드,,,4,2,0
LOCK,LOCK,LOCK,,,,4,2,0
MSRW,MAGNETIC SCRIPE(?) READ WRITE,MSRW,,,,4,2,0
REPO,REPURCHASE AGREEMENT,REPO,REPURCHASE AGREEMENT,,,4,2,0
SAVE,SAVE,SAVE,BASE21 이전 상품,,,4,2,0
SPOT,SPOT,SPOT,,,,4,2,0
WRAP,WRAP ACCOUNT,WRAP,자산종합관리계좌 또는 자산종합관리 서비스,,,4,2,0
ARS,AUTOMATIC RESPONSE SERVICE ,ARS,,,,3,2,0
